"Economy","Economy.Code","ISO.Code","Region","Income.Group","Report.Year","WBL.INDEX","MOBILITY","Can.a.woman.choose.where.to.live.in.the.same.way.as.a.man.","Can.a.woman.travel.outside.her.home.in.the.same.way.as.a.man.","Can.a.woman.apply.for.a.passport.in.the.same.way.as.a.man.","Can.a.woman.travel.outside.the.country.in.the.same.way.as.a.man.","WORKPLACE","Can.a.woman.get.a.job.in.the.same.way.as.a.man.","Does.the.law.prohibit.discrimination.in.employment.based.on.gender.","Is.there.legislation.on.sexual.harassment.in.employment.","Are.there.criminal.penalties.or.civil.remedies.for.sexual.harassment.in.employment.","PAY","Does.the.law.mandate.equal.remuneration.for.work.of.equal.value.","Can.a.woman.work.at.night.in.the.same.way.as.a.man.","Can.a.woman.work.in.a.job.deemed.dangerous.in.the.same.way.as.a.man.","Can.a.woman.work.in.an.industrial.job.in.the.same.way.as.a.man.","MARRIAGE","Is.the.law.free.of.legal.provisions.that.require.a.married.woman.to.obey.her.husband.","Can.a.woman.be.head.of.household.in.the.same.way.as.a.man.","Is.there.legislation.specifically.addressing.domestic.violence.","Can.a.woman.obtain.a.judgment.of.divorce.in.the.same.way.as.a.man.","Does.a.woman.have.the.same.rights.to.remarry.as.a.man.","PARENTHOOD","Is.paid.leave.of.at.least.14.weeks.available.to.mothers.","Length.of.paid.maternity.leave","Does.the.government.administer.100.percent.of.maternity.leave.benefits.","Is.there.paid.leave.available.to.fathers.","Length.of.paid.paternity.leave","Is.there.paid.parental.leave.","Shared.days","Days.for.the.mother","Days.for.the.father","Is.dismissal.of.pregnant.workers.prohibited.","ENTREPRENEURSHIP","Does.the.law.prohibit.discrimination.in.access.to.credit.based.on.gender.","Can.a.woman.sign.a.contract.in.the.same.way.as.a.man.","Can.a.woman.register.a.business.in.the.same.way.as.a.man.","Can.a.woman.open.a.bank.account.in.the.same.way.as.a.man.","ASSETS","Do.women.and.men.have.equal.ownership.rights.to.immovable.property.","Do.sons.and.daughters.have.equal.rights.to.inherit.assets.from.their.parents.","Do.male.and.female.surviving.spouses.have.equal.rights.to.inherit.assets.","Does.the.law.grant.spouses.equal.administrative.authority.over.assets.during.marriage.","Does.the.law.provide.for.the.valuation.of.nonmonetary.contributions.","PENSION","Is.the.age.at.which.women.and.men.can.retire.with.full.pension.benefits.the.same.","Is.the.age.at.which.women.and.men.can.retire.with.partial.pension.benefits.the.same.","Is.the.mandatory.retirement.age.for.women.and.men.the.same.","Are.periods.of.absence.due.to.childcare.accounted.for.in.pension.benefits.","match","X","Country.Code","Foreign_direct_investment","agriculture_forestry_value_added","GNI.per.capita","net_barter_terms_of_trade_index","gdp_per_person_employed"
"st. vincent and the grenadines","VCT","VCT","Latin America & Caribbean","Upper middle income",2018,68.1,75,"Yes","Yes","No","Yes",25,"Yes","No","No","No",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",20,"No",91,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,253,"VCT",4.52,5.64,8340,114.24,39066.12
"sudan","SDN","SDN","Sub-Saharan Africa","Low income",2018,29.4,0,"No","No","No","No",0,"No","No","No","No",0,"No","No","No","No",0,"No","No","No","No","No",20,"No",56,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,206,"SDN",3.51,-1.8,860,106.51,17074.32
"suriname","SUR","SUR","Latin America & Caribbean","Upper middle income",2018,60,75,"Yes","Yes","No","Yes",25,"Yes","No","No","No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",0,"No",0,"No","No",0,"No",0,0,0,"No",50,"No","Yes","No","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,220,"SUR",3.28,-8.49,5790,105.51,60889.4
"sweden","SWE","SWE","High income: OECD","High income",2018,100,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",0,"Yes","Yes",14,"Yes",300,90,90,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,223,"SWE",-0.13,-10.14,55700,97.16,121393.62
"switzerland","CHE","CHE","High income: OECD","High income",2018,85.6,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",98,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,37,"CHE",-22.11,8.52,82470,101.01,144180.71
"syrian arab republic","SYR","SYR","Middle East & North Africa","Low income",2018,34.4,25,"No","No","Yes","No",25,"No","Yes","No","No",0,"No","No","No","No",20,"No","Yes","No","No","No",40,"Yes",120,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",50,"No","Yes","Yes","No",TRUE,227,"SYR",2.68,-14.71,820,96.09,15365.39
"taiwan, china","TWN","TWN","East Asia & Pacific","High income",2018,91.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",56,"No","Yes",5,"Yes",180,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",FALSE,NA,NA,2.68,2.73,5715,101.01,39516.06
"tajikistan","TJK","TJK","Europe & Central Asia","Lower middle income",2018,78.8,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",50,"Yes","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",140,"Yes","No",0,"Yes",0,478,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,234,"TJK",2.84,7,1020,129.94,14450.94
"tanzania","TZA","TZA","Sub-Saharan Africa","Lower middle income",2018,81.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","No","Yes","Yes",60,"No",84,"Yes","Yes",3,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"Yes","No","No","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,246,"TZA",1.7,3.44,1000,101.03,7299.78
"thailand","THA","THA","East Asia & Pacific","Upper middle income",2018,75,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",80,"Yes","Yes","Yes","Yes","No",20,"No",90,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,233,"THA",2.71,6.1,6450,98.54,37331.74
"timor-leste","TMP","TLS","East Asia & Pacific","Lower middle income",2018,80.6,100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",40,"No",84,"No","Yes",7,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,237,"TLS",3.06,2.89,1820,101.01,10433.56
"togo","TGO","TGO","Sub-Saharan Africa","Low income",2018,84.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",60,"Yes","Yes","No","Yes","No",60,"Yes",98,"No","Yes",2,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,232,"TGO",-2.57,4.62,860,104.68,7607.29
"tonga","TON","TON","East Asia & Pacific","Upper middle income",2018,58.8,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",0,"No",0,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",20,"No","No","No","Yes","No",75,"Yes","Yes","Yes","No",TRUE,239,"TON",4.75,0.37,4710,97.73,20474.77
"trinidad and tobago","TTO","TTO","Latin America & Caribbean","High income",2018,75,75,"Yes","Yes","No","Yes",50,"Yes","Yes","No","No",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",20,"Yes",98,"No","No",0,"No",0,0,0,"No",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,242,"TTO",-2.85,8.59,15430,99.72,69526.75
"tunisia","TUN","TUN","Middle East & North Africa","Lower middle income",2018,55.6,100,"Yes","Yes","Yes","Yes",25,"Yes","No","No","No",25,"No","No","Yes","No",40,"Yes","No","No","Yes","No",40,"No",30,"Yes","Yes",1,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,243,"TUN",2.32,5.88,3650,96.54,43181.5
"turkiye","TUR","TUR","Europe & Central Asia","Upper middle income",2018,82.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",80,"Yes","Yes","Yes","Yes","No",80,"Yes",112,"Yes","Yes",7,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",TRUE,244,"TUR",1.6,2.3,10650,94.97,79410.73
"uganda","UGA","UGA","Sub-Saharan Africa","Low income",2018,70,50,"No","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",40,"No",84,"No","Yes",4,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",75,"Yes","Yes","Yes","No",TRUE,247,"UGA",3.21,4.39,770,95.01,7255.28
"ukraine","UKR","UKR","Europe & Central Asia","Lower middle income",2018,76.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",0,"No","No","No","No",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",126,"Yes","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,248,"UKR",3.8,8.18,2750,101,37439.88
"united arab emirates","ARE","ARE","Middle East & North Africa","High income",2018,26.9,0,"No","No","No","No",0,"No","No","No","No",0,"No","No","No","No",0,"No","No","No","No","No",0,"No",45,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,8,"ARE",2.43,4.9,44350,110.24,102782.46
"united kingdom","GBR","GBR","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",42,"No","Yes",14,"Yes",231,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,81,"GBR",-0.87,-10.2,42020,96.52,108266.08
"united states","USA","USA","High income: OECD","High income",2018,83.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",20,"No",0,"No","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,251,"USA",1.04,2.73,63360,99.84,140100.94
"uruguay","URY","URY","Latin America & Caribbean","High income",2018,85.6,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",80,"Yes","Yes","Yes","Yes","No",80,"Yes",98,"Yes","Yes",13,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,250,"URY",2.64,5.84,17530,97.41,63719.35
"uzbekistan","UZB","UZB","Europe & Central Asia","Lower middle income",2018,64.4,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",25,"No","Yes","No","No",80,"Yes","Yes","No","Yes","Yes",60,"Yes",126,"No","No",0,"Yes",674,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","No","Yes",TRUE,252,"UZB",1.18,0,2120,108.53,19578.64
"vanuatu","VUT","VUT","East Asia & Pacific","Lower middle income",2018,55.6,75,"No","Yes","Yes","Yes",25,"Yes","No","No","No",50,"No","No","Yes","Yes",80,"Yes","No","Yes","Yes","Yes",0,"No",84,"No","No",0,"No",0,0,0,"No",100,"Yes","Yes","Yes","Yes",40,"No","Yes","Yes","No","No",75,"Yes","Yes","Yes","No",TRUE,258,"VUT",4.11,0.9,3120,102.41,8475.42
"venezuela, rb","VEN","VEN","Latin America & Caribbean","Not classified",2018,85,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",182,"Yes","Yes",14,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",TRUE,254,"VEN",2.68,2.73,5715,121.18,39516.06
"viet nam","VNM","VNM","East Asia & Pacific","Lower middle income",2018,81.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",180,"Yes","Yes",5,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","No","Yes",TRUE,257,"VNM",5,4.12,3060,102.58,19275.36
"west bank and gaza","WBG","PSE","Middle East & North Africa","Upper middle income",2018,38.1,25,"No","No","Yes","No",25,"No","Yes","No","No",0,"No","No","No","No",20,"No","Yes","No","No","No",20,"No",84,"Yes","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,196,"PSE",1.29,1.58,4190,92.48,32977.44
"yemen, rep.","YEM","YEM","Middle East & North Africa","Low income",2018,26.9,25,"No","No","No","Yes",25,"No","Yes","No","No",25,"No","No","No","Yes",0,"No","No","No","No","No",0,"No",70,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",25,"No","No","Yes","No",TRUE,262,"YEM",-1.31,7.42,820,118.49,39516.06
"zambia","ZMB","ZMB","Sub-Saharan Africa","Lower middle income",2018,78.8,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",20,"No",90,"No","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",75,"Yes","Yes","Yes","No",TRUE,264,"ZMB",1.55,-21.18,1400,103.06,11922.22
"zimbabwe","ZWE","ZWE","Sub-Saharan Africa","Lower middle income",2018,86.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",40,"Yes",98,"No","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,265,"ZWE",2.1,18.41,1550,100.23,10398.79
